Acoupar.exe - ISO3382 Acoustical Parameter File
Filename	Lsg_31.5 	Lsg_63   	Lsg_125  	Lsg_250  	Lsg_500  	Lsg_1000 	Lsg_2000 	Lsg_4000 	Lsg_8000 	Lsg_16000	Lsg_A    	Lsg_Lin  	Lno_31.5 	Lno_63   	Lno_125  	Lno_250  	Lno_500  	Lno_1000 	Lno_2000 	Lno_4000 	Lno_8000 	Lno_16000	Lno_A    	Lno_Lin  	StG_31.5 	StG_63   	StG_125  	StG_250  	StG_500  	StG_1000 	StG_2000 	StG_4000 	StG_8000 	StG_16000	StG_A    	StG_Lin  	C50_31.5 	C50_63   	C50_125  	C50_250  	C50_500  	C50_1000 	C50_2000 	C50_4000 	C50_8000 	C50_16000	C50_A    	C50_Lin  	C80_31.5 	C80_63   	C80_125  	C80_250  	C80_500  	C80_1000 	C80_2000 	C80_4000 	C80_8000 	C80_16000	C80_A    	C80_Lin  	D50_31.5 	D50_63   	D50_125  	D50_250  	D50_500  	D50_1000 	D50_2000 	D50_4000 	D50_8000 	D50_16000	D50_A    	D50_Lin  	ts _31.5 	ts _63   	ts _125  	ts _250  	ts _500  	ts _1000 	ts _2000 	ts _4000 	ts _8000 	ts _16000	ts _A    	ts _Lin  	EDT_31.5 	EDT_63   	EDT_125  	EDT_250  	EDT_500  	EDT_1000 	EDT_2000 	EDT_4000 	EDT_8000 	EDT_16000	EDT_A    	EDT_Lin  	Tus_31.5 	Tus_63   	Tus_125  	Tus_250  	Tus_500  	Tus_1000 	Tus_2000 	Tus_4000 	Tus_8000 	Tus_16000	Tus_A    	Tus_Lin  	T20_31.5 	T20_63   	T20_125  	T20_250  	T20_500  	T20_1000 	T20_2000 	T20_4000 	T20_8000 	T20_16000	T20_A    	T20_Lin  	T30_31.5 	T30_63   	T30_125  	T30_250  	T30_500  	T30_1000 	T30_2000 	T30_4000 	T30_8000 	T30_16000	T30_A    	T30_Lin  	IACCe_31.5 	IACCe_63   	IACCe_125  	IACCe_250  	IACCe_500  	IACCe_1000 	IACCe_2000 	IACCe_4000 	IACCe_8000 	IACCe_16000	IACCe_A    	IACCe_Lin  	tIACC_31.5 	tIACC_63   	tIACC_125  	tIACC_250  	tIACC_500  	tIACC_1000 	tIACC_2000 	tIACC_4000 	tIACC_8000 	tIACC_16000	tIACC_A    	tIACC_Lin  	wIACC_31.5 	wIACC_63   	wIACC_125  	wIACC_250  	wIACC_500  	wIACC_1000 	wIACC_2000 	wIACC_4000 	wIACC_8000 	wIACC_16000	wIACC_A    	wIACC_Lin  
G:\2020_CATALUNYA_JULY\12_07_2020\_Abric dels Massets\ZYLIA/output/2020_CATALUNYA_JULYTest2_W_WY.wav	33.831	46.779	51.232	62.344	60.584	66.944	65.596	61.823	60.337	67.818	71.972	72.746	-7.955	-10.974	-21.206	-39.979	-62.115	-98.403	-109.433	-118.039	-122.369	-130.235	-78.170	-40.809	-35.169	-22.221	-17.768	-6.656	-8.416	-2.056	-3.404	-7.177	-8.663	-1.182	-5.028	-6.254	10.449	8.980	9.941	21.492	16.301	18.942	17.271	14.109	15.563	19.653	17.086	17.257	15.465	15.007	15.168	29.449	25.256	26.631	23.846	22.569	23.500	28.131	24.634	24.644	91.710	87.926	89.856	99.295	97.357	98.436	98.011	96.183	97.294	98.923	97.977	98.090	10143.593	1125.069	457.359	48.039	57.220	35.333	39.343	37.456	27.178	16.916	30.971	29.989	0.483	0.408	0.325	0.089	0.205	0.154	0.184	0.201	0.179	0.126	0.176	0.173	0.353	0.327	0.301	0.146	0.228	0.189	0.189	0.207	0.192	0.167	0.188	0.195	0.327	0.396	0.319	0.204	0.205	0.188	0.217	0.222	0.215	0.183	0.206	0.212	0.395	0.634	0.382	0.198	0.236	0.229	0.267	0.297	0.230	0.194	0.250	0.252	0.114	0.226	0.377	0.622	0.369	0.289	0.350	0.369	0.161	0.341	0.240	0.269	1.000	1.000	1.000	0.271	0.021	1.000	-0.479	0.000	0.896	-0.208	0.000	0.000	0.062	0.104	0.417	0.521	0.312	0.250	0.104	0.062	0.042	0.042	0.042	0.042
G:\2020_CATALUNYA_JULY\12_07_2020\_Barranc de la Vall IV\ZYLIA/output/2020_CATALUNYA_JULYTest1_W_WY.wav	5.770	41.615	46.922	52.504	53.731	60.392	59.375	58.367	58.019	66.532	68.087	69.314	-1.501	-1.505	-10.894	-26.364	-54.586	-89.231	-106.431	-95.477	-104.539	-120.276	-60.803	-25.317	-63.230	-27.385	-22.078	-16.496	-15.269	-8.608	-9.625	-10.633	-10.981	-2.468	-8.913	-9.686	-nan(ind)	14.254	10.550	14.089	15.767	18.142	14.381	11.351	15.604	23.211	16.257	17.427	-nan(ind)	18.177	14.052	15.586	18.359	20.881	17.091	13.047	18.996	30.163	18.558	19.853	-39.125	96.330	90.728	92.215	95.795	96.629	94.050	92.028	97.021	99.514	96.954	97.938	-61796.953	5637.002	1659.173	801.311	125.940	233.094	114.187	74.957	28.077	6.703	49.342	35.610	0.666	0.257	0.341	0.280	0.131	0.124	0.180	0.270	0.153	0.040	0.112	0.090	0.632	0.309	0.634	0.586	0.284	0.452	0.454	0.814	0.231	0.113	0.254	0.190	0.644	0.411	1.002	1.131	0.797	0.500	0.901	1.132	0.712	0.165	1.002	0.875	0.500	0.679	0.721	0.758	0.665	0.836	0.708	0.861	0.832	0.222	0.812	0.798	0.000	0.000	0.227	0.563	0.234	0.175	0.255	0.265	0.426	0.663	0.209	0.244	0.000	0.000	1.000	-0.042	0.000	-0.062	-0.042	0.312	-0.062	0.042	-0.021	-0.021	0.000	0.000	0.979	0.500	0.292	0.167	0.083	0.062	0.042	0.042	0.042	0.042
G:\2020_CATALUNYA_JULY\12_07_2020\_Barranc de la Vall IV\ZYLIA/output/2020_CATALUNYA_JULYTest2_W_WY.wav	30.784	41.752	48.662	54.611	55.715	61.491	60.442	60.217	58.382	67.203	68.538	69.632	-0.383	-7.880	-13.305	-23.782	-50.624	-84.466	-104.577	-100.199	-104.827	-120.489	-63.321	-29.158	-38.216	-27.248	-20.338	-14.389	-13.285	-7.509	-8.558	-8.783	-10.618	-1.797	-8.462	-9.368	2.055	10.856	12.646	15.051	16.030	16.763	14.779	13.732	16.083	23.619	16.167	17.104	3.563	13.340	15.679	16.351	18.695	19.139	17.650	15.574	19.187	29.984	18.615	19.578	58.424	88.579	94.696	94.129	96.291	96.054	95.070	94.845	97.287	99.545	96.811	97.624	1483.124	5972.055	996.740	420.459	116.728	102.725	81.996	56.424	26.571	10.882	45.366	37.788	1.565	0.603	0.255	0.205	0.141	0.143	0.198	0.192	0.135	0.046	0.134	0.113	0.696	0.954	0.286	0.560	0.356	0.408	0.293	0.185	0.217	0.110	0.245	0.197	0.569	0.784	0.817	0.992	0.789	0.710	0.793	1.178	0.690	0.159	0.992	0.841	0.460	0.746	0.721	0.730	0.639	0.770	0.683	0.852	0.823	0.219	0.792	0.769	0.000	0.513	0.007	0.656	0.314	0.502	0.372	0.459	0.474	0.462	0.172	0.185	0.000	1.000	1.000	1.000	0.667	0.479	-0.208	0.167	0.042	-0.229	0.479	0.417	0.000	0.188	0.021	0.625	0.292	0.146	0.083	0.062	0.042	0.042	0.042	0.042
G:\2020_CATALUNYA_JULY\13_07_2020\CabraFeixet/output/2020_CATALUNYA_JULYTest1_W_WY.wav	32.053	49.656	56.384	57.545	60.944	65.999	65.787	62.148	59.770	64.186	71.473	71.990	4.941	-3.352	-20.547	-46.757	-71.412	-105.811	-130.806	-134.826	-136.226	-132.621	-65.025	-26.107	-36.947	-19.344	-12.616	-11.455	-8.056	-3.001	-3.213	-6.852	-9.230	-4.814	-5.527	-7.010	-nan(ind)	16.831	18.289	15.862	21.449	24.834	22.659	19.842	22.010	22.813	22.068	21.376	-nan(ind)	19.928	21.985	25.924	31.982	35.037	33.655	31.038	33.266	35.247	33.083	30.357	45.401	97.238	98.524	97.384	99.216	99.651	99.412	98.946	99.369	99.466	99.360	99.268	573.482	688.240	263.902	83.960	38.487	22.947	40.946	33.966	16.207	17.397	27.376	27.916	1.048	0.167	0.160	0.202	0.125	0.091	0.134	0.166	0.143	0.158	0.135	0.137	0.600	0.148	0.171	0.229	0.191	0.158	0.115	0.133	0.144	0.118	0.139	0.146	0.549	1.149	0.291	0.186	0.160	0.153	0.134	0.140	0.145	0.127	0.141	0.150	--	0.992	0.380	0.198	0.163	0.144	0.141	0.153	0.151	0.136	0.148	0.175	0.189	0.817	0.831	0.539	0.791	0.747	0.782	0.525	0.300	0.294	0.631	0.603	1.000	1.000	0.979	0.062	-0.042	0.062	0.000	0.000	0.125	0.000	0.000	0.000	0.188	0.333	1.188	0.542	0.292	0.167	0.104	0.062	0.042	0.042	0.083	0.062
G:\2020_CATALUNYA_JULY\13_07_2020\CabraFeixet/output/2020_CATALUNYA_JULYTest2_W_WY.wav	38.156	47.782	53.109	56.873	61.145	65.301	64.691	63.553	60.222	63.887	71.411	71.766	8.162	4.518	-19.254	-52.122	-77.579	-112.943	-127.350	-132.254	-136.215	-132.516	-69.712	-21.528	-30.844	-21.218	-15.891	-12.127	-7.855	-3.699	-4.309	-5.447	-8.778	-5.113	-5.589	-7.234	6.998	12.572	15.862	18.694	22.455	22.006	22.026	22.546	21.131	23.469	22.093	21.260	9.113	16.329	18.961	24.708	31.529	35.860	33.070	33.029	32.392	35.579	33.413	29.577	77.605	86.612	97.428	98.350	99.354	99.230	99.197	99.297	99.235	99.548	99.265	99.178	53.885	2392.941	533.131	102.170	51.890	48.032	42.470	38.961	22.379	15.174	33.834	34.381	1.249	0.729	0.228	0.272	0.119	0.111	0.153	0.128	0.137	0.144	0.136	0.138	0.646	1.753	0.140	0.179	0.116	0.174	0.150	0.145	0.131	0.133	0.153	0.162	1.424	0.230	0.386	0.171	0.133	0.143	0.130	0.138	0.146	0.129	0.136	0.146	1.354	0.414	0.311	0.211	0.163	0.136	0.142	0.150	0.153	0.136	0.144	0.183	0.040	0.000	0.009	0.308	0.436	0.359	0.331	0.341	0.215	0.179	0.128	0.113	1.000	0.000	-1.000	1.000	0.812	-0.417	-0.229	0.146	-0.042	-0.188	0.417	0.417	0.042	0.000	0.021	0.646	0.292	0.146	0.083	0.042	0.042	0.042	0.083	0.062
G:\2020_CATALUNYA_JULY\13_07_2020\Caparrel/output/2020_CATALUNYA_JULYTest1_W_WY.wav	18.934	34.187	42.493	47.826	49.405	55.311	55.177	52.955	50.209	55.762	61.577	61.979	-12.881	-15.403	-31.373	-55.564	-81.246	-101.145	-124.518	-129.376	-136.833	-135.458	-85.009	-46.467	-50.066	-34.813	-26.507	-21.174	-19.595	-13.689	-13.823	-16.045	-18.791	-13.238	-15.423	-17.021	8.007	7.723	10.123	11.892	11.944	13.186	10.177	9.735	10.988	15.693	11.388	11.740	10.112	11.380	15.108	17.330	17.927	17.500	15.630	13.928	16.618	22.174	16.158	16.623	83.772	84.785	90.790	93.531	92.849	92.103	87.469	88.695	91.669	97.363	90.897	92.276	22797.049	8576.741	692.285	355.581	146.663	119.454	134.764	85.727	62.982	16.646	85.530	80.448	0.660	0.483	0.312	0.237	0.244	0.248	0.295	0.324	0.263	0.154	0.266	0.245	0.537	0.495	0.438	0.348	0.287	0.299	0.360	0.335	0.309	0.260	0.329	0.330	0.595	0.621	0.326	0.319	0.349	0.372	0.422	0.404	0.364	0.273	0.397	0.383	0.628	0.751	0.455	0.375	0.431	0.455	0.477	0.477	0.401	0.291	0.465	0.452	0.000	0.453	0.641	0.505	0.506	0.111	0.265	0.337	0.195	0.318	0.162	0.159	0.000	0.938	1.000	-0.312	0.000	-0.438	-0.208	0.208	0.188	0.125	0.208	0.208	0.000	1.646	0.250	0.562	0.333	0.125	0.083	0.062	0.062	0.042	0.042	0.062
G:\2020_CATALUNYA_JULY\13_07_2020\Caparrel/output/2020_CATALUNYA_JULYTest1_take2_W_WY.wav	22.765	38.926	46.670	52.608	53.745	58.792	59.348	57.250	54.671	57.487	65.426	65.737	-9.983	-11.885	-22.336	-43.811	-74.642	-101.294	-119.893	-126.052	-128.124	-131.817	-75.022	-38.382	-46.235	-30.074	-22.330	-16.392	-15.255	-10.208	-9.652	-11.750	-14.329	-11.513	-11.574	-13.263	9.052	6.713	8.625	10.211	11.170	13.566	10.987	10.958	11.961	14.284	11.893	11.738	11.842	11.210	14.490	15.624	17.717	17.661	16.869	15.952	17.353	20.887	17.060	17.057	87.805	81.681	87.347	90.604	91.728	92.999	88.915	90.728	93.160	96.398	91.643	92.240	30887.080	8823.393	615.206	597.934	209.719	131.861	149.984	88.045	72.607	24.602	100.986	107.960	0.573	0.485	0.391	0.332	0.313	0.270	0.361	0.324	0.273	0.268	0.331	0.321	0.523	0.525	0.413	0.361	0.309	0.346	0.313	0.319	0.273	0.203	0.324	0.317	0.455	0.584	0.353	0.332	0.334	0.373	0.376	0.390	0.332	0.257	0.360	0.356	0.441	0.872	0.441	0.378	0.431	0.463	0.472	0.492	0.398	0.291	0.457	0.447	0.000	0.142	0.416	0.440	0.538	0.128	0.284	0.494	0.368	0.334	0.198	0.184	0.000	-0.188	1.000	-0.438	-0.083	-0.375	-0.208	0.188	-0.083	0.125	0.208	0.208	0.000	1.438	0.146	0.604	0.354	0.125	0.104	0.062	0.042	0.042	0.062	0.062
G:\2020_CATALUNYA_JULY\13_07_2020\Caparrel/output/2020_CATALUNYA_JULYTest2_W_WY.wav	26.733	43.561	49.682	53.806	56.762	59.429	57.887	56.861	52.437	59.961	65.041	65.884	-11.966	-15.432	-34.958	-55.892	-76.377	-102.065	-122.139	-124.526	-133.511	-133.392	-91.637	-36.481	-42.267	-25.439	-19.318	-15.194	-12.238	-9.571	-11.113	-12.139	-16.563	-9.039	-11.959	-13.116	10.099	8.912	9.279	9.446	11.818	12.915	9.892	9.915	10.437	16.071	11.163	11.343	12.779	12.455	18.668	15.531	18.841	18.794	15.433	15.657	15.536	22.729	16.811	17.149	91.064	88.425	88.739	89.283	93.615	94.838	89.855	90.350	91.622	97.456	92.482	92.904	2414.604	987.792	210.148	207.749	68.576	53.411	66.112	72.809	46.417	32.692	57.585	59.566	0.506	0.377	0.325	0.329	0.247	0.229	0.280	0.272	0.268	0.172	0.257	0.253	0.566	0.428	0.148	0.288	0.195	0.217	0.296	0.271	0.292	0.190	0.257	0.256	0.775	0.346	0.349	0.321	0.258	0.294	0.380	0.386	0.367	0.228	0.342	0.327	0.706	0.684	0.375	0.351	0.366	0.381	0.446	0.440	0.403	0.265	0.414	0.400	0.002	0.000	0.000	0.115	0.262	0.152	0.142	0.278	0.202	0.238	0.082	0.052	1.000	0.000	0.000	1.000	0.875	0.417	0.229	0.167	-0.188	0.271	0.208	0.667	0.021	0.000	0.000	0.042	0.354	0.146	0.104	0.062	0.042	0.042	0.042	0.042
G:\2020_CATALUNYA_JULY\14_07_2020\AbricDelTaller/output/2020_CATALUNYA_JULYTest1_W_WY.wav	36.076	45.420	45.299	44.590	51.756	58.649	60.498	60.848	61.613	75.809	71.920	74.459	-5.973	-9.776	-21.525	-55.700	-77.518	-104.860	-125.635	-128.678	-140.536	-136.789	-75.566	-36.475	-32.924	-23.580	-23.701	-24.410	-17.244	-10.351	-8.502	-8.152	-7.387	6.809	-5.080	-4.541	14.937	11.518	17.878	13.831	24.395	25.422	27.794	29.636	33.063	44.916	32.409	33.086	17.944	17.462	27.854	29.868	37.127	36.953	34.816	34.297	39.721	55.010	40.075	41.390	96.883	92.967	98.380	95.960	99.602	99.690	99.830	99.876	99.947	99.997	99.942	99.943	7687.167	1583.251	361.772	125.901	98.532	54.539	37.730	22.012	10.495	3.447	8.913	6.052	0.384	0.331	0.197	0.222	0.139	0.094	0.097	0.071	0.043	0.013	0.047	0.030	0.244	0.347	0.258	0.246	0.113	0.111	0.079	0.093	0.072	0.033	0.090	0.074	0.558	0.383	0.204	0.179	0.117	0.118	0.100	0.104	0.092	0.056	0.096	0.089	--	0.786	0.255	0.168	0.129	0.164	0.116	0.117	0.104	0.067	0.108	0.105	0.082	0.458	0.382	0.216	0.276	0.383	0.123	0.365	0.503	0.703	0.491	0.590	1.000	1.000	1.000	1.000	1.000	0.854	-0.083	0.729	0.021	-0.104	0.021	0.021	0.042	0.146	0.062	0.083	0.396	0.167	0.104	0.042	0.042	0.042	0.042	0.042
G:\2020_CATALUNYA_JULY\14_07_2020\AbricDelTaller/output/2020_CATALUNYA_JULYTest1_take2_W_WY.wav	49.262	61.879	61.083	63.936	64.969	70.566	70.641	67.958	67.066	76.688	77.596	78.955	-11.523	-9.882	-18.308	-51.581	-72.607	-102.180	-118.960	-120.943	-133.878	-134.660	-85.030	-31.492	-19.738	-7.121	-7.917	-5.064	-4.031	1.566	1.641	-1.042	-1.934	7.688	0.596	-0.045	16.459	13.899	15.283	14.139	25.350	27.252	29.446	28.789	31.645	40.845	28.544	24.338	21.508	19.398	23.561	26.456	36.581	41.172	37.815	36.085	39.916	51.639	38.740	34.596	97.789	95.727	97.110	96.139	99.555	99.807	99.877	99.867	99.931	99.992	99.860	99.576	7856.901	1289.847	664.010	161.611	88.412	36.943	57.496	27.656	13.495	5.813	25.509	28.887	0.380	0.290	0.268	0.183	0.136	0.098	0.090	0.092	0.070	0.036	0.086	0.092	0.209	0.271	0.181	0.219	0.097	0.120	0.081	0.077	0.070	0.062	0.098	0.125	0.300	0.289	0.192	0.181	0.104	0.117	0.098	0.095	0.085	0.070	0.104	0.132	--	0.353	0.189	0.163	0.126	0.118	0.125	0.134	0.105	0.077	0.115	0.144	0.110	0.731	0.608	0.436	0.226	0.463	0.271	0.325	0.328	0.576	0.248	0.263	1.000	1.000	1.000	1.000	1.000	0.792	-0.042	0.021	0.021	-0.167	0.021	0.021	0.062	0.292	0.104	0.896	0.646	0.167	0.083	0.062	0.042	0.042	0.042	0.042
G:\2020_CATALUNYA_JULY\14_07_2020\AbricDelTaller/output/2020_CATALUNYA_JULYTest2_W_WY.wav	45.115	58.927	61.550	64.381	68.609	73.163	72.407	70.640	66.855	74.853	78.995	79.674	-2.297	0.547	-24.052	-40.732	-66.449	-111.712	-118.158	-122.972	-133.673	-131.940	-87.634	-45.825	-23.885	-10.073	-7.450	-4.619	-0.391	4.163	3.407	1.640	-2.145	5.853	1.995	0.674	16.842	12.483	15.526	13.683	27.855	29.035	29.633	30.774	32.033	38.454	28.915	24.499	22.729	19.471	25.575	28.832	40.452	43.331	39.606	38.604	40.027	49.798	40.226	35.915	97.967	94.599	97.237	95.301	99.819	99.863	99.891	99.915	99.937	99.986	99.872	99.558	35967.906	3142.571	424.376	145.099	53.973	30.709	23.451	22.909	18.953	8.465	22.076	27.286	0.382	0.265	0.216	0.219	0.114	0.077	0.080	0.080	0.082	0.056	0.075	0.088	0.196	0.354	0.156	0.197	0.131	0.078	0.068	0.053	0.080	0.070	0.075	0.105	0.258	0.310	0.195	0.166	0.097	0.098	0.091	0.084	0.089	0.077	0.094	0.133	0.215	0.479	0.192	0.144	0.124	0.114	0.112	0.107	0.097	0.083	0.115	0.145	0.000	0.000	0.000	0.000	0.731	0.620	0.481	0.563	0.263	0.302	0.217	0.156	0.000	0.000	0.000	0.000	1.000	-0.458	-0.250	0.146	0.604	0.896	0.417	0.417	0.000	0.000	0.000	0.000	0.375	0.146	0.083	0.062	0.042	0.042	0.062	0.042
G:\2020_CATALUNYA_JULY\14_07_2020\CovaDelRamat/output/2020_CATALUNYA_JULYTest1_W_WY.wav	40.011	47.127	54.804	55.741	57.910	63.668	63.938	63.548	63.503	64.977	71.087	71.401	14.402	8.211	-13.748	-31.823	-63.411	-100.110	-112.601	-117.695	-128.702	-131.177	-58.105	-14.534	-28.989	-21.873	-14.196	-13.259	-11.090	-5.332	-5.062	-5.452	-5.497	-4.023	-5.913	-7.599	-0.279	5.431	11.967	11.466	18.359	17.278	14.936	15.724	20.461	22.706	16.518	15.923	0.788	6.861	20.530	15.758	23.799	22.732	20.626	22.335	27.610	32.426	22.615	21.871	49.036	65.143	93.386	93.333	98.407	96.281	95.996	97.244	98.914	99.464	97.303	97.201	290.196	754.406	683.504	353.323	156.229	139.921	98.718	54.041	36.892	15.897	67.299	70.944	2.506	3.163	0.276	0.300	0.237	0.166	0.220	0.171	0.120	0.127	0.180	0.188	0.434	--	0.347	0.237	0.169	0.249	0.235	0.216	0.168	0.136	0.205	0.214	0.547	0.724	0.218	0.293	0.223	0.248	0.258	0.248	0.182	0.144	0.242	0.312	1.082	1.205	0.806	0.341	0.290	0.234	0.258	0.299	0.223	0.161	0.298	0.264	0.551	0.000	0.531	0.431	0.301	0.403	0.372	0.509	0.294	0.388	0.306	0.280	-1.000	0.000	0.417	0.729	0.125	-0.062	-0.021	0.292	-0.208	-0.083	0.000	0.000	0.000	0.000	0.958	0.542	0.271	0.146	0.104	0.062	0.042	0.042	0.042	0.042
G:\2020_CATALUNYA_JULY\14_07_2020\CovaDelRamat/output/2020_CATALUNYA_JULYTest2_W_WY.wav	33.822	48.973	56.816	58.569	62.244	69.468	66.945	64.588	60.411	69.136	73.993	74.415	10.908	10.554	-6.353	-36.395	-59.148	-96.559	-116.722	-118.437	-127.891	-130.734	-68.996	-30.359	-35.178	-20.027	-12.184	-10.431	-6.756	0.468	-2.055	-4.412	-8.589	0.136	-3.007	-4.585	-nan(ind)	8.359	14.926	11.973	19.042	21.882	18.144	17.027	17.552	26.527	19.268	18.706	-nan(ind)	10.049	21.494	18.587	26.148	28.511	23.482	22.254	24.172	36.062	25.090	24.578	26.925	72.548	96.717	92.092	98.762	99.326	98.487	98.055	98.268	99.768	98.823	98.624	2308.191	557.398	166.777	60.663	35.271	19.369	21.106	22.777	24.952	8.421	18.307	19.285	0.557	1.053	0.216	0.249	0.143	0.111	0.119	0.156	0.160	0.061	0.126	0.127	0.557	0.154	0.269	0.229	0.176	0.124	0.157	0.162	0.174	0.103	0.144	0.161	1.157	0.792	0.277	0.247	0.197	0.153	0.223	0.239	0.216	0.124	0.201	0.213	0.804	0.856	0.497	0.264	0.234	0.228	0.266	0.268	0.228	0.142	0.247	0.327	0.000	0.587	0.274	0.192	0.165	0.198	0.185	0.173	0.253	0.273	0.119	0.115	0.000	0.833	1.000	1.000	-0.083	0.812	0.021	0.458	-0.083	0.167	0.021	0.021	0.000	1.000	0.083	0.083	0.229	0.125	0.083	0.062	0.062	0.042	0.062	0.062
G:\2020_CATALUNYA_JULY\14_07_2020\CoveDelCingle/output/2020_CATALUNYA_JULYTest1_W_WY.wav	44.372	48.554	59.746	64.516	64.864	71.286	70.185	67.554	66.082	75.488	77.212	78.226	-21.757	-21.232	-27.764	-44.181	-68.226	-107.246	-119.887	-125.618	-133.740	-132.172	-82.593	-34.223	-24.628	-20.446	-9.254	-4.484	-4.136	2.286	1.185	-1.446	-2.918	6.488	0.212	-0.774	12.627	14.647	20.731	19.861	21.863	25.472	21.248	20.981	22.512	30.560	23.020	23.176	17.529	19.707	29.048	28.402	34.936	38.156	34.862	32.278	35.034	44.680	35.489	34.593	94.452	96.681	99.157	98.847	99.311	99.687	99.216	99.174	99.435	99.912	99.486	99.517	20586.480	3991.644	291.391	133.638	53.519	37.450	51.716	39.146	26.346	6.948	32.304	28.215	0.401	0.295	0.171	0.129	0.140	0.098	0.122	0.138	0.121	0.061	0.112	0.108	0.265	0.244	0.150	0.155	0.158	0.115	0.124	0.150	0.130	0.106	0.122	0.119	0.329	0.377	0.171	0.165	0.148	0.115	0.133	0.141	0.134	0.113	0.133	0.131	0.489	0.349	0.193	0.168	0.143	0.130	0.137	0.153	0.140	0.116	0.137	0.144	0.008	0.492	0.609	0.554	0.552	0.347	0.448	0.360	0.320	0.497	0.339	0.355	1.000	1.000	-0.062	0.271	0.292	0.104	0.062	0.000	-0.062	-0.229	0.042	0.042	0.021	0.188	0.917	0.562	0.333	0.125	0.104	0.042	0.042	0.042	0.042	0.042
G:\2020_CATALUNYA_JULY\14_07_2020\CoveDelCingle/output/2020_CATALUNYA_JULYTest2_W_WY.wav	36.803	41.721	50.727	63.436	63.275	69.673	68.521	67.451	66.453	72.550	75.747	76.406	-10.701	-16.789	-34.918	-53.891	-70.186	-101.274	-119.411	-124.094	-131.832	-132.486	-79.671	-40.030	-32.197	-27.279	-18.273	-5.564	-5.725	0.673	-0.479	-1.549	-2.547	3.550	-1.253	-2.594	6.589	9.672	14.422	18.890	18.996	21.978	19.042	19.816	21.160	26.206	20.518	20.552	12.735	17.833	20.975	31.645	32.148	32.887	31.256	31.088	33.370	40.004	32.251	32.306	80.491	90.046	96.001	98.564	98.429	99.326	98.656	98.967	99.225	99.757	99.096	99.118	75294.352	1748.423	645.539	221.795	117.293	51.330	62.866	47.780	42.183	22.459	47.727	46.348	0.480	0.338	0.280	0.104	0.169	0.167	0.148	0.136	0.137	0.082	0.145	0.145	0.342	0.249	0.154	0.161	0.096	0.101	0.130	0.129	0.120	0.103	0.123	0.129	0.410	0.396	0.200	0.166	0.128	0.110	0.137	0.134	0.132	0.110	0.131	0.135	0.553	0.574	0.287	0.161	0.122	0.122	0.143	0.143	0.136	0.118	0.136	0.141	0.233	0.532	0.000	0.295	0.512	0.287	0.261	0.385	0.381	0.369	0.131	0.109	-1.000	1.000	0.000	1.000	1.000	0.521	0.208	-0.104	-0.083	0.354	0.208	0.500	0.125	0.979	0.000	0.042	0.396	0.146	0.104	0.042	0.042	0.042	0.042	0.042
G:\2020_CATALUNYA_JULY\16_07_2020\Aguila1/output/2020_CATALUNYA_JULYTest1_W_WY.wav	-26.812	-26.812	-26.812	-26.812	-26.812	-26.812	-26.812	-26.812	-26.812	-26.812	-26.812	-26.812	--	--	--	--	--	--	--	--	--	--	--	--	-95.812	-95.812	-95.812	-95.812	-95.812	-95.812	-95.812	-95.812	-95.812	-95.812	-103.812	-105.812	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
